key,title,description,time,calories,tags,ingredients,steps
"kulcha","Soft Amritsari Kulcha","A soft, leavened bread from Amritsar, often stuffed with spiced potato or paneer, and cooked in a tandoor.","90 mins","230","Indian | Bread | Punjabi | Stuffed","2 cups All-Purpose Flour | 1/2 tsp Baking Powder | Yogurt | Stuffing: Potatoes or Paneer | Butter | Nigella Seeds | Coriander","Step 1: The Dough. Mix flour, baking powder, and yogurt into a soft dough. Rest for 1 hour. | Step 2: The Stuffing. Mash potatoes with spices or crumble paneer with herbs. | Step 3: The Fill. Flatten dough, add filling, and seal the edges. | Step 4: The Cook. Pat into a flat disc and press onto a very hot tawa. Flip once. | Step 5: Finish. Brush immediately with butter and sprinkle coriander and nigella seeds."
"bhakri","Rustic Bhakri","A hearty, thick flatbread from Maharashtra and Gujarat made from millet or sorghum flour — a village staple.","20 mins","130","Indian | Bread | Maharashtra | Millet | Gluten-Free","2 cups Jowar (Sorghum) or Bajra (Millet) Flour | Hot Water | Salt","Step 1: The Dough. Add hot water gradually to the flour — hot water makes the dough easier to work with. Knead into a firm dough. | Step 2: The Shape. Take a portion and press into a thick circle using your palms — don't use a rolling pin. | Step 3: The Cook. Place on a medium-hot tawa and cook on one side. | Step 4: The Flip. Flip and cook the other side, pressing gently with a cloth. | Step 5: Finish. Bhakri should be crisp on the outside. Serve with garlic chutney and oil."
"thepla","Gujarati Thepla","A thin, spiced flatbread from Gujarat made with fenugreek leaves — perfect for travel as it stays fresh for days.","25 mins","120","Indian | Bread | Gujarati | Healthy | Travel-Friendly","1.5 cups Whole Wheat Flour | 1/2 cup Fresh Fenugreek Leaves (Methi) | Yogurt | Turmeric | Red Chili | Cumin | Oil","Step 1: The Dough. Mix flour with chopped fenugreek, yogurt, and spices. Add water if needed to make a soft dough. | Step 2: The Rest. Let it rest for 10 minutes. | Step 3: The Roll. Roll into thin circles like a regular roti. | Step 4: The Cook. Cook on a hot tawa with a little oil on both sides until golden brown spots appear. | Step 5: Finish. Cool on a wire rack. They stay fresh for 3-4 days — ideal for travel!"
"rumali roti","Paper-Thin Rumali Roti","An incredibly thin flatbread from Mughal kitchens, stretched paper-thin and cooked on an inverted wok — so delicate it can be folded like a handkerchief.","30 mins","90","Indian | Bread | Mughal | Fine Dining","1 cup All-Purpose Flour | 1 cup Whole Wheat Flour | Salt | Oil | Warm Water","Step 1: The Dough. Make a very soft, smooth dough. It must be soft enough to stretch without tearing. | Step 2: The Rest. Cover with a wet cloth and rest for 30 minutes. | Step 3: The Stretch. Roll as thin as possible, then stretch by hand over your knuckles. | Step 4: The Inverted Wok. Cook on the outside of an inverted wok or large bowl over the stove. | Step 5: Finish. It cooks in seconds. Fold into quarters and serve."
"luchi","Bengali Luchi","A deep-fried, puffy white bread from Bengal — softer and more delicate than a puri, made with refined flour.","20 mins","160","Indian | Bread | Bengali | Deep-Fried | Festive","2 cups All-Purpose Flour (Maida) | Water | Salt | 1 tsp Oil | Oil for frying","Step 1: The Dough. Mix maida, salt, and a little oil. Add water and knead into a firm, smooth dough. | Step 2: The Rest. Rest for 15 minutes. | Step 3: The Circles. Roll into small, thin circles. | Step 4: The Fry. Fry in hot oil, pressing gently — they puff up immediately. | Step 5: Serve. Drain and serve with Aloo Dum or Kosha Mangsho — a classic Bengali combination."
"makki ki roti","Punjabi Makki Ki Roti","A golden corn flour flatbread from Punjab — rustic, coarse, and delicious. Best eaten with Sarson da Saag.","25 mins","150","Indian | Bread | Punjabi | Gluten-Free | Winter Special","2 cups Corn Flour (Makki Atta) | Hot Water | Salt | Ghee","Step 1: The Dough. Add hot water to corn flour gradually — it's sticky, so be patient. Knead into a soft dough. | Step 2: The Shape. Flatten a ball between your wet palms into a thick, rough circle. Corn flour does not roll like wheat, so use your hands. | Step 3: The Cook. Place on a hot tawa and cook on medium heat. | Step 4: The Flip. Flip carefully and cook the other side. | Step 5: Finish. Apply generous ghee and serve with mustard greens (Sarson da Saag)."
"bajra roti","Rajasthani Bajra Roti","A hearty, thick flatbread made from pearl millet flour — a winter staple in Rajasthan and Gujarat.","20 mins","140","Indian | Bread | Rajasthani | Millet | Gluten-Free","2 cups Pearl Millet Flour (Bajra Atta) | Hot Water | Salt","Step 1: The Dough. Mix flour with hot water and salt. Knead quickly into a firm dough while still warm. | Step 2: The Shape. Press and pat into a thick round with your hands — bajra dough doesn't roll well. | Step 3: The Cook. Place on a medium tawa and cook each side for 2-3 minutes. | Step 4: The Char. Move directly onto the flame for a few seconds on each side for that traditional smoky flavor. | Step 5: Finish. Apply generous ghee. Serve with garlic chutney and onion."
"ragi roti","Nutritious Ragi Roti","A finger millet flatbread from Karnataka, packed with calcium and iron — healthy and delicious.","20 mins","120","Indian | Bread | Karnataka | Healthy | Gluten-Free","2 cups Finger Millet Flour (Ragi) | 1 Onion (finely chopped) | Green Chili | Coriander | Salt | Water","Step 1: The Mix. Combine ragi flour with chopped onion, green chili, coriander, and salt. | Step 2: The Dough. Add warm water to bind everything into a soft dough. | Step 3: The Pat. Apply a little oil on a hot tawa. Place a ball of dough and spread it with your fingers directly on the tawa into a thin round. | Step 4: The Cook. Cook on medium heat until the edges lift. Flip and cook the other side. | Step 5: Finish. Drizzle ghee and serve with chutney or egg curry."
"akki rotti","Karnataka Akki Rotti","A rice flour flatbread from Karnataka, often made with mixed vegetables and spices for a nutritious meal.","20 mins","110","Indian | Bread | Karnataka | Rice | Gluten-Free","2 cups Rice Flour | 1 Onion | Green Chili | Fresh Coconut | Coriander | Salt | Oil","Step 1: The Mix. Mix rice flour with chopped onion, green chili, coconut, and coriander. | Step 2: The Bind. Add water gradually and mix into a soft, spreadable dough. | Step 3: The Spread. Oil a hot tawa and spread the dough directly on it using wet fingers into a thin circle. | Step 4: The Cook. Cover and cook on medium heat for 2-3 minutes. | Step 5: Finish. Uncover, flip, and cook for 1 more minute. Serve with coconut chutney."
"thalipeeth","Maharashtrian Thalipeeth","A savory multi-grain pancake from Maharashtra, made from a special blend of several flours — hearty, nutritious, and delicious.","25 mins","200","Indian | Bread | Maharashtra | Multi-grain | Healthy","1 cup Bhajani Flour (or mix of Rice, Chickpea, Millet, Wheat Flour) | Onion | Green Chili | Coriander | Turmeric | Oil","Step 1: The Mix. Combine the multigrain flour with chopped onion, green chili, coriander, turmeric, and salt. | Step 2: The Dough. Add water slowly and knead into a soft dough. | Step 3: The Spread. Place a ball on an oiled tawa and pat it out into a thin, even circle with wet fingers. | Step 4: The Holes. Make small holes in the dough and pour oil into them for crispiness. | Step 5: The Cook. Cover and cook on medium heat, then flip and cook the other side. Serve with curd and chutney."
"parotta","Kerala Layered Parotta","A flaky, layered flatbread from South India made with refined flour — incredibly soft with hundreds of airy layers.","60 mins","290","Indian | Bread | South Indian | Layered | Kerala","2 cups All-Purpose Flour | 1 Egg | Salt | Sugar | Oil | Warm Water","Step 1: The Dough. Knead flour with egg, sugar, salt, oil, and water into a very soft, elastic dough. Rest for 30 minutes. | Step 2: The Coating. Divide into balls, coat generously with oil, and rest for 30 more minutes. | Step 3: The Stretch. Stretch each ball into a very thin sheet. | Step 4: The Coil. Fold into pleats like a fan, then roll into a tight spiral. | Step 5: The Flatten & Cook. Flatten the spiral and cook on an oiled tawa, then beat it gently with your palms to separate the layers."
"pathiri","Kerala Pathiri","A delicate, paper-thin rice flour flatbread from Kerala's Malabar region, traditionally served with spiced chicken or fish curry.","25 mins","90","Indian | Bread | Kerala | Rice | Gluten-Free","2 cups Rice Flour | 2 cups Boiling Water | Salt | Coconut Oil","Step 1: The Dough. Pour boiling water over rice flour and salt. Mix quickly and knead while still hot into a smooth, non-sticky dough. | Step 2: The Balls. Divide into small, equal balls. | Step 3: The Roll. Roll very thin between two sheets of plastic — pathiri must be almost translucent. | Step 4: The Cook. Cook on a dry, lightly oiled non-stick pan for 1-2 minutes each side. | Step 5: Serve. Serve hot with Malabar chicken curry or fish stew."
"sheermal","Mughal Sheermal","A rich, saffron-laced flatbread from Mughal kitchens — slightly sweet, beautifully golden, and incredibly aromatic.","90 mins","220","Indian | Bread | Mughal | Sweet | Festive","2 cups All-Purpose Flour | Milk | Saffron | Sugar | Ghee | Yeast","Step 1: The Saffron Milk. Warm milk and soak saffron strands in it for 10 minutes until the milk turns golden. | Step 2: The Dough. Mix flour with sugar, ghee, and yeast. Add saffron milk to make a soft, rich dough. Let it rise for 1 hour. | Step 3: The Shape. Divide and roll into medium-sized ovals. | Step 4: The Bake. Brush with saffron milk and bake in a hot oven (or tandoor) until golden with a slightly crisp crust. | Step 5: Finish. Brush again with saffron milk for a glossy, fragrant finish."
"injera","Ethiopian Injera","A spongy, sourdough flatbread from Ethiopia made from fermented teff flour — both plate and utensil.","3 days (ferment) + 30 mins","130","Ethiopian | African | Fermented | Gluten-Free | Vegan","2 cups Teff Flour | 2.5 cups Water | 1/2 tsp Salt","Step 1: The Ferment. Mix teff flour and water into a thin batter. Cover loosely and leave at room temperature for 2-3 days until it smells sour and bubbles form. | Step 2: The Check. Taste it — it should be pleasantly sour. Add salt and stir. | Step 3: The Pour. Heat a large non-stick pan. Pour a ladleful of batter and swirl quickly to coat the pan thinly. | Step 4: The Cook. Cover and cook for 2-3 minutes on one side only. Do not flip. It's done when the surface is fully set and no longer shiny. | Step 5: Serve. Stack on a plate and serve with lentil stew (dal) or any curry poured on top."
"harsha","Moroccan Harsha","A buttery, pan-fried Moroccan semolina bread — crispy outside, soft inside, perfect with honey.","20 mins","210","Moroccan | African | Semolina | Breakfast","2 cups Fine Semolina | 1/2 cup Butter (melted) | 1 tsp Baking Powder | 1/2 tsp Salt | Milk as needed","Step 1: The Mix. Combine semolina, salt, and baking powder. Rub in melted butter with your fingers until it resembles wet sand. | Step 2: The Bind. Add milk gradually and mix into a soft, slightly sticky dough. | Step 3: The Shape. Pat into a round disc about 1 inch thick. | Step 4: The Cook. Cook in a dry pan on low-medium heat for 8-10 minutes each side until golden. | Step 5: Serve. Cut into wedges and serve warm with butter and honey."
"batbout","Moroccan Batbout","A fluffy, pita-like Moroccan flatbread cooked on a griddle — airy inside and perfect for stuffing.","90 mins","180","Moroccan | African | Flatbread | Street Food","2 cups All-Purpose Flour | 1 cup Semolina | 1 tsp Yeast | 1 tsp Sugar | Salt | Warm Water","Step 1: The Yeast. Dissolve yeast and sugar in warm water. Let it sit for 10 minutes until foamy. | Step 2: The Dough. Mix flour, semolina, and salt. Add the yeast water and knead into a smooth dough. | Step 3: The Rise. Divide into small balls, flatten slightly, cover, and let rise for 45 minutes. | Step 4: The Cook. Cook on a dry medium-hot pan, flipping every 30 seconds until puffed and golden. | Step 5: Serve. Slice open like a pita and fill with eggs, merguez, or salad."
"kesra","Algerian Kesra","A traditional North African semolina flatbread from Algeria, seasoned with nigella seeds.","30 mins","190","Algerian | African | Semolina | Traditional","2 cups Semolina | 1 tsp Yeast | Nigella Seeds | Salt | Warm Water | Olive Oil","Step 1: The Dough. Mix semolina, yeast, salt, and nigella seeds. Add warm water and a splash of olive oil. Knead into a smooth dough. | Step 2: The Rest. Let it rest for 20 minutes. | Step 3: The Shape. Flatten into a thick round about 1/2 inch thick. | Step 4: The Cook. Cook on a heavy, dry cast-iron pan on medium heat for 8 minutes each side. | Step 5: Serve. The crust should be golden. Serve with olive oil for dipping."
"focaccia","Ligurian Focaccia","A dimpled, olive oil-drenched Italian flatbread from Liguria — crispy outside, pillowy inside.","2 hours","270","Italian | European | Flatbread | Vegan","3 cups Bread Flour | 1 tsp Yeast | 1 tsp Sugar | 1 tsp Salt | 1/2 cup Olive Oil | Rosemary | Flaky Sea Salt","Step 1: The Dough. Mix flour, yeast, sugar, salt with water. Add 3 tbsp olive oil and knead for 8 minutes. | Step 2: The Rise. Let rise for 1 hour until doubled. | Step 3: The Pan. Pour olive oil generously into a baking pan. Spread dough to fill the pan. | Step 4: The Dimples. Press your fingers all over the dough to make deep dimples. Drizzle more oil into each dimple. | Step 5: The Bake. Rest 20 minutes, then bake at 220°C for 20 minutes until golden. Top with rosemary and flaky salt."
"ciabatta","Italian Ciabatta","A rustic Italian slipper bread with a crispy crust and a wildly open, chewy interior.","3 hours","230","Italian | European | Artisan | Vegan","3 cups Bread Flour | 1.5 cups Water | 1 tsp Yeast | 1 tsp Salt | 2 tbsp Olive Oil","Step 1: The Wet Dough. This dough is very wet — that's normal. Mix all ingredients into a shaggy dough. | Step 2: The Stretch & Fold. Every 30 minutes, stretch the dough and fold it over itself 4 times. Repeat 3-4 times over 2 hours. | Step 3: The Shape. Gently tip onto a heavily floured surface. Cut into rectangles — do not deflate the air bubbles. | Step 4: The Rest. Rest 30 minutes on parchment paper. | Step 5: The Bake. Bake at 230°C for 25 minutes with a pan of water in the oven for steam."
"pretzel","German Soft Pretzel","A chewy, shiny German bread twisted into its iconic knot shape — salty on the outside, soft on the inside.","90 mins","250","German | European | Baked | Salty","3 cups All-Purpose Flour | 1 tsp Yeast | 1 tsp Sugar | 1 tsp Salt | 1 tbsp Butter | 1/4 cup Baking Soda (for boiling) | Coarse Salt","Step 1: The Dough. Mix flour, yeast, sugar, salt, and butter with warm water. Knead for 8 minutes until smooth. | Step 2: The Rise. Let rise for 45 minutes. | Step 3: The Shape. Divide into ropes and twist into pretzel shapes. | Step 4: The Bath. Boil water with baking soda. Briefly dip each pretzel for 30 seconds — this creates the shiny brown crust. | Step 5: The Bake. Sprinkle with coarse salt and bake at 220°C for 12-15 minutes until deep brown."
"pumpernickel","German Pumpernickel","A dense, dark, malty German rye bread slow-baked for up to 16 hours — deeply flavored and long-lasting.","16+ hours","180","German | European | Rye | Dark Bread","3 cups Rye Flour | 1 cup Cracked Rye Berries | 1 cup Sourdough Starter | 1 tbsp Molasses | 1 tsp Salt | 1 cup Hot Water","Step 1: The Soak. Soak cracked rye berries in boiling water for 1 hour. | Step 2: The Mix. Combine rye flour, sourdough starter, molasses, salt, and the soaked rye. Mix into a very dense, sticky dough. | Step 3: The Pan. Press firmly into a greased loaf tin, smoothing the top. | Step 4: The Long Bake. Bake covered at 120°C (250°F) for 16-24 hours. The low and slow baking creates the dark color. | Step 5: The Rest. Cool completely and rest overnight before slicing. It slices better and tastes deeper the next day."
"knackebrod","Swedish Knäckebröd","A crisp, thin Scandinavian rye crispbread — keeps for months and the base of the Nordic diet.","30 mins","90","Swedish | Scandinavian | Rye | Crispbread | Healthy","2 cups Rye Flour | 1/2 cup All-Purpose Flour | 1 tsp Salt | 1 tsp Baking Powder | Caraway Seeds | Water","Step 1: The Mix. Combine flours, salt, baking powder, and caraway seeds. | Step 2: The Dough. Add cold water and mix into a firm dough. | Step 3: The Roll. Roll paper thin — as thin as you possibly can. It will shrink slightly when baking. | Step 4: The Holes. Prick all over with a fork or rolling docker to prevent large bubbles. | Step 5: The Bake. Bake at 200°C for 8-10 minutes until completely crisp and dry."
"borodinsky","Russian Borodinsky Bread","A dark Russian rye sourdough bread sweetened with molasses and topped with coriander seeds.","12 hours","200","Russian | European | Rye | Sourdough","2 cups Dark Rye Flour | 1 cup Sourdough Starter | 2 tbsp Molasses | 1 tbsp Malt Extract | 1 tsp Salt | Coriander Seeds","Step 1: The Starter. Feed sourdough starter the night before. | Step 2: The Mix. Combine rye flour, starter, molasses, malt, and salt into a dense, sticky dough. | Step 3: The Pan. Press into a greased loaf tin. Wet your hands to smooth the top. | Step 4: The Top. Sprinkle generously with coriander seeds. | Step 5: The Bake. Rise for 4 hours, then bake at 180°C for 55-60 minutes."
"soda bread","Irish Soda Bread","A quick, no-yeast Irish bread leavened only with baking soda — crusty outside, tender inside.","45 mins","220","Irish | European | Quick Bread | No Yeast","4 cups Whole Wheat Flour | 1 tsp Baking Soda | 1 tsp Salt | 1.5 cups Buttermilk","Step 1: The Dry Mix. Combine flour, salt, and baking soda. Make a well in the center. | Step 2: The Wet. Pour in all the buttermilk at once. | Step 3: The Mix. Stir with a fork just until it comes together. Do not over-mix — it makes it tough. | Step 4: The Shape. Turn onto a floured surface, shape into a round, and cut a deep X on top. | Step 5: The Bake. Bake at 200°C for 35-40 minutes. The X is not decorative — it lets the heat reach the center."
"challah","Jewish Challah","A beautifully braided, slightly sweet Jewish ceremonial bread enriched with eggs and oil.","3 hours","260","Jewish | European | Sweet Bread | Braided | Festive","4 cups All-Purpose Flour | 2 Eggs | 1/4 cup Oil | 2 tbsp Sugar | 1 tsp Yeast | 1 tsp Salt | Sesame Seeds","Step 1: The Dough. Mix flour, yeast, sugar, and salt. Add eggs, oil, and warm water. Knead for 10 minutes. | Step 2: The Rise. Let rise for 2 hours until doubled. | Step 3: The Braid. Divide into 3 (or 6) ropes and braid tightly. | Step 4: The Glaze. Brush with egg wash and sprinkle sesame seeds. | Step 5: The Bake. Bake at 175°C for 30-35 minutes until deep golden brown."
"limpa","Swedish Limpa Rye Bread","A soft Swedish rye bread flavored with orange zest, molasses, and warm spices like anise and fennel.","3 hours","210","Swedish | Scandinavian | Rye | Spiced","2 cups Rye Flour | 1 cup All-Purpose Flour | Orange Zest | Molasses | Anise Seeds | Fennel Seeds | Yeast | Salt","Step 1: The Dough. Combine flours, yeast, salt, molasses, spices, and orange zest. Add warm water and knead. | Step 2: The Rise. Let rise for 1.5 hours. | Step 3: The Shape. Form into an oval loaf. | Step 4: The Rest. Let rest 30 more minutes. | Step 5: The Bake. Bake at 175°C for 40 minutes. The orange and spice aroma will fill the kitchen."
"bannock","Scottish Bannock","A simple, ancient Scottish flatbread made from oats or barley — the original field bread of Celtic cultures.","20 mins","180","Scottish | European | Flatbread | Quick Bread","2 cups Oatmeal or Barley Flour | 1/2 tsp Salt | 1/2 tsp Baking Powder | Water or Buttermilk","Step 1: The Mix. Combine oatmeal, salt, and baking powder. | Step 2: The Bind. Add just enough water or buttermilk to bring into a soft dough. | Step 3: The Shape. Pat into a round disc about 1 cm thick. | Step 4: The Cook. Cook on a dry griddle on medium heat for 10 minutes each side. | Step 5: Serve. Best eaten warm with butter."
"arepa","Colombian Arepa","A thick, golden cornmeal patty from Colombia and Venezuela — grilled, fried, or baked and stuffed with cheese.","20 mins","200","Colombian | Venezuelan | Americas | Corn | Gluten-Free","2 cups Precooked Cornmeal (Masarepa) | 1 tsp Salt | 1 tbsp Butter | Warm Water | Shredded Cheese (optional)","Step 1: The Dough. Mix masarepa with salt, butter, and warm water until you get a soft dough that doesn't crack when pressed. | Step 2: The Balls. Divide into portions and roll into balls. | Step 3: The Press. Flatten each ball into a round patty about 1 cm thick. | Step 4: The Cook. Cook on a hot griddle or pan for 5-6 minutes each side until a crust forms. | Step 5: Serve. Split open and fill with butter, cheese, or black beans."
"casabe","Caribbean Casabe","An ancient crispy cassava flatbread from the Caribbean and South America — thin as a cracker and naturally gluten-free.","45 mins","100","Caribbean | Americas | Cassava | Ancient | Gluten-Free | Vegan","2 lbs Fresh Cassava (Yuca) | Salt","Step 1: The Peel & Grate. Peel cassava and grate finely. | Step 2: The Press. Wrap in a cloth and squeeze out ALL liquid — the juice contains toxins that must be removed. | Step 3: The Dry. Spread the pressed cassava flour on a tray and let it dry slightly. | Step 4: The Cook. Press a thin layer onto a very hot dry griddle and cook for 5 minutes until set. | Step 5: The Flip. Flip carefully and cook the other side for 3-4 minutes until crisp like a cracker."
"anadama bread","New England Anadama Bread","A traditional American yeast bread from New England made with cornmeal and molasses — deeply rustic.","3 hours","240","American | Americas | Cornmeal | Molasses | Traditional","1/2 cup Cornmeal | 1/3 cup Molasses | 2 tbsp Butter | 1 tsp Salt | 2.5 cups Bread Flour | 1.5 tsp Yeast","Step 1: The Porridge. Cook cornmeal in boiling water until thick, like porridge. Cool to lukewarm. | Step 2: The Mix. Add molasses, butter, and salt to the cornmeal. Mix in yeast. | Step 3: The Dough. Add flour gradually and knead for 8-10 minutes. | Step 4: The Rise. Let rise for 1.5 hours, punch down, shape into a loaf. | Step 5: The Bake. Bake at 190°C for 35 minutes until golden."
"sopa paraguaya","Paraguayan Sopa Paraguaya","Despite being called 'soup,' this is a dense, savory South American cornbread loaded with cheese and onion.","60 mins","310","Paraguayan | Americas | Cornbread | Savory | Cheese","2 cups Cornmeal | 3 Eggs | 1 cup Cheese (grated) | 1 Onion (diced) | 1 cup Milk | 3 tbsp Oil | Salt","Step 1: The Onion. Sauté diced onion in oil until soft. Cool slightly. | Step 2: The Mix. Whisk eggs and milk, then add cornmeal, cheese, salt, and cooled onion. | Step 3: The Batter. Stir into a thick batter — thicker than pancake batter. | Step 4: The Bake. Pour into a greased baking dish and bake at 180°C for 40-45 minutes. | Step 5: Check. It's done when a toothpick comes out clean and the top is golden."
"frybread","Native American Frybread","A simple, pillowy fried bread — a staple and cultural symbol of many Native American nations.","20 mins","330","Native American | Americas | Deep-Fried | Traditional","2 cups All-Purpose Flour | 1 tsp Baking Powder | 1/2 tsp Salt | 3/4 cup Warm Water or Milk | Oil for frying","Step 1: The Dough. Mix flour, baking powder, and salt. Add warm water and mix just until a soft dough forms. | Step 2: The Rest. Let it rest for 10 minutes. | Step 3: The Pull. Tear off pieces and flatten by hand into thin rounds. | Step 4: The Fry. Fry in 2 inches of hot oil for 2 minutes each side until golden and puffed. | Step 5: Serve. Serve with honey and butter, or as a base for Indian Tacos."
"mantou","Chinese Steamed Mantou","Cloud-soft Chinese steamed buns — the daily bread of Northern China, pillowy white and subtly sweet.","90 mins","170","Chinese | Asian | Steamed | Vegan","3 cups All-Purpose Flour | 1 tsp Yeast | 2 tbsp Sugar | 1/2 cup Warm Milk | 1/2 cup Warm Water","Step 1: The Dough. Mix flour, yeast, and sugar. Add warm milk and water. Knead for 10 minutes until very smooth. | Step 2: The Rise. Let rise for 1 hour until doubled. | Step 3: The Roll. Roll out to 1 cm thick and roll into a tight log. | Step 4: The Cut. Slice into 2-inch rounds and place each on a small square of parchment. | Step 5: The Steam. Steam on high heat for 15 minutes. Do not open the lid early or they will collapse."
"anpan","Japanese Anpan","A beloved Japanese sweet bun filled with sweet red bean paste — a classic since the Meiji era.","2 hours","220","Japanese | Asian | Sweet Bread | Red Bean | Baked","2 cups Bread Flour | 2 tbsp Sugar | 1 tsp Yeast | 1 Egg | 3 tbsp Butter | 1/2 cup Milk | Red Bean Paste (Anko) for filling | Sesame Seeds","Step 1: The Dough. Mix flour, sugar, yeast, egg, butter, and milk. Knead for 10 minutes until smooth. | Step 2: The Rise. Let rise for 1 hour. | Step 3: The Fill. Flatten a dough ball, add a spoonful of anko paste in the center, and pinch tightly to seal. | Step 4: The Top. Brush with egg wash and sprinkle black sesame seeds. | Step 5: The Bake. Bake at 180°C for 12-15 minutes until golden."
"melonpan","Japanese Melon Pan","A Japanese sweet bun covered with a thin, crispy cookie crust — named for its melon-like scoring, not flavor.","2.5 hours","280","Japanese | Asian | Sweet Bread | Cookie Crust | Bakery","Bread Dough: Flour, Yeast, Sugar, Egg, Butter, Milk | Cookie Layer: Butter, Sugar, Egg, Flour, Baking Powder","Step 1: The Bread Dough. Make a standard enriched dough and let it rise for 1 hour. | Step 2: The Cookie Dough. Beat butter and sugar until fluffy. Add egg, then fold in flour and baking powder. | Step 3: The Assembly. Flatten a piece of cookie dough and wrap it around each bread dough ball. | Step 4: The Score. Use a knife to score a grid pattern on the cookie layer. | Step 5: The Bake. Bake at 180°C for 12 minutes. The cookie should be crispy, the bread should be soft."
"lavash","Armenian Lavash","An ancient, paper-thin flatbread from the Caucasus region — baked on hot stone walls and chewy when fresh.","30 mins","120","Armenian | Middle Eastern | Flatbread | Ancient | Vegan","3 cups All-Purpose Flour | 1 tsp Yeast | 1 tsp Salt | Warm Water","Step 1: The Dough. Mix flour, yeast, and salt. Add water and knead for 8 minutes into a smooth, stiff dough. | Step 2: The Rest. Divide into small balls and let rest for 30 minutes. | Step 3: The Roll. Roll each ball as thin as humanly possible — almost translucent. | Step 4: The Bake. Bake on the highest rack of a preheated 250°C oven for 3-4 minutes only. | Step 5: Serve. It will be crispy when fresh. Sprinkle with water and stack to soften."
"pita","Classic Pita Bread","The iconic Middle Eastern pocket bread — bakes in minutes and magically forms a hollow pocket.","90 mins","165","Middle Eastern | Mediterranean | Asian | Flatbread | Vegan","3 cups All-Purpose Flour | 1 tsp Yeast | 1 tsp Sugar | 1 tsp Salt | 1 tbsp Olive Oil | Warm Water","Step 1: The Dough. Mix flour, yeast, sugar, and salt. Add oil and water. Knead for 8 minutes. | Step 2: The Rise. Let rise for 1 hour. | Step 3: The Circles. Divide and roll into thin 6-inch circles. Rest for 15 minutes. | Step 4: The Secret. Bake on a preheated baking stone or hot pan at 250°C for 3-4 minutes only. | Step 5: The Pocket. The intense heat creates steam that puffs the bread into a perfect pocket. Cool before opening."
"gobi paratha","Punjabi Gobi Paratha","A beloved Punjabi flatbread stuffed with spiced grated cauliflower — the winter morning staple.","30 mins","220","Indian | Punjabi | Breakfast | Vegetarian | Stuffed Bread","2 cups Whole Wheat Flour | 2 cups Cauliflower (grated) | 1 Onion (finely chopped) | 2 Green Chilies | 1 tsp Cumin Seeds | 1 tsp Amchur (Dry Mango Powder) | Fresh Coriander | Ghee","Step 1: The Filling. Grate cauliflower and squeeze out moisture in a cloth. Mix with chopped onion, green chili, cumin, amchur, coriander, and salt. | Step 2: The Dough. Knead a soft whole wheat dough and rest for 15 mins. | Step 3: The Stuff. Roll a ball into a small circle, place filling in center, seal edges upward like a bundle. | Step 4: The Re-Roll. Gently roll out the stuffed ball — the key is a light touch so filling doesn't burst. | Step 5: The Cook. Cook on a hot tawa with generous ghee on both sides until golden and crisp."
"mooli paratha","Punjabi Mooli Paratha","A juicy, spiced radish-stuffed flatbread from Punjab — the secret is squeezing out all the water.","30 mins","200","Indian | Punjabi | Breakfast | Vegetarian | Stuffed Bread","2 cups Whole Wheat Flour | 2 cups White Radish (grated) | 1 tsp Ginger (grated) | 2 Green Chilies | 1/2 tsp Ajwain | Fresh Coriander | Ghee","Step 1: The Prep. Grate radish and add salt. Let it sit for 10 minutes, then squeeze out every drop of water — this step is critical. | Step 2: The Filling. Mix squeezed radish with ginger, green chili, ajwain, coriander, and salt. | Step 3: The Dough. Prepare soft dough using the squeezed radish water for extra flavor. | Step 4: The Stuff. Fill, seal, and gently roll out each paratha. | Step 5: The Cook. Cook with ghee on a hot tawa until both sides are golden and aromatic."
"methi paratha","Stuffed Methi Paratha","A healthy flatbread stuffed with cooked fenugreek leaves and besan — slightly bitter, deeply flavorful.","25 mins","190","Indian | Healthy | Breakfast | Vegetarian | Fenugreek","2 cups Whole Wheat Flour | 1.5 cups Fresh Fenugreek Leaves (Methi) | 3 tbsp Besan (Chickpea Flour) | 1/2 tsp Turmeric | 1/2 tsp Chaat Masala | 1 tsp Cumin | Oil","Step 1: The Filling. Sauté besan in a dry pan until lightly toasted. Add methi leaves, turmeric, chaat masala, cumin, and salt. Cook until dry. | Step 2: The Dough. Knead a soft dough and rest for 15 mins. | Step 3: The Stuff. Fill the dough balls with the methi-besan mixture. | Step 4: The Roll. Roll gently into parathas. | Step 5: The Cook. Cook with a little oil on a hot tawa until crisp on both sides."
"paneer paratha","Punjabi Paneer Paratha","A rich, protein-packed flatbread stuffed with spiced grated cottage cheese — a North Indian breakfast favourite.","30 mins","280","Indian | Punjabi | Breakfast | Vegetarian | High-Protein","2 cups Whole Wheat Flour | 1.5 cups Paneer (grated) | 2 Green Chilies (finely chopped) | 1 tsp Amchur | 1/2 tsp Red Chili Powder | Fresh Coriander | Ghee","Step 1: The Filling. Mix grated paneer with chopped green chili, amchur, red chili, coriander, and salt. Divide into balls. | Step 2: The Dough. Prepare a soft, pliable dough. | Step 3: The Stuff. Roll a circle, place paneer ball in center, seal completely. | Step 4: The Roll. Roll gently — paneer can crack the dough if too much pressure is applied. | Step 5: The Cook. Cook with generous ghee until both sides are golden. Serve with butter and pickle."
